City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
522,Wad Madani,SD,86.45,broken clouds,14.4012,33.5199,فندق يوغسلافيا
529,Huilong,CN,79.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
537,Nhulunbuy,AU,75.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
542,Half Moon Bay,US,85.8,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
544,Sulangan,PH,82.49,few clouds,11.1373,123.7228,Maia's Beach Resort
546,Praxedis Guerrero,MX,77.41,overcast clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
547,Kigoma,TZ,77.68,few clouds,-4.8769,29.6267,MJI Mwema Lodge
548,Biltine,TD,85.12,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
549,Wanning,CN,81.95,overcast clouds,18.8003,110.3967,Paradise Hotel
553,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
554,San Pedro De Ycuamandiyu,PY,82.0,clear sky,-24.0917,-57.0764,Hotel Refugio
556,Kousseri,CM,76.96,thunderstorm,12.0769,15.0306,Le Pilotis
558,Asfi,MA,76.1,scattered clouds,32.2994,-9.2372,Hôtel Abda
561,Eboli,IT,87.93,clear sky,40.6142,15.0579,Hotel Grazia Eboli
565,Shimoda,JP,80.71,light rain,34.6667,138.95,Shimoda Tokyu Hotel
569,Mongo,TD,76.55,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
572,Miri,MY,75.34,thunderstorm with light rain,4.4148,114.0089,"Mega Hotel, Miri"
575,Bodden Town,KY,87.98,few clouds,19.2833,-81.25,Will T Place
576,Praia,CV,84.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
577,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
581,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
584,Augusto Correa,BR,85.06,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
587,Luanda,AO,75.2,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
589,Allapalli,IN,79.66,light rain,19.4167,80.0667,Hotel IK Residency
591,Portland,US,85.21,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
592,Ternate,ID,79.32,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
593,South Lake Tahoe,US,86.77,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
594,Gander,CA,82.53,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
597,Itaituba,BR,87.96,broken clouds,-4.2761,-55.9836,Hotel Campos
598,Kahului,US,76.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
601,Fonte Boa,BR,77.49,overcast clouds,-2.4959,-66.2662,
604,Qui Nhon,VN,82.08,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
605,Yumen,CN,78.66,clear sky,40.2833,97.2,
606,Padang,ID,75.72,moderate rain,-0.9492,100.3543,Mercure Padang
608,Rosarito,MX,89.67,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
609,Ugoofaaru,MV,82.22,overcast clouds,5.6667,73.0,Ungoofaaru Inn
610,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
612,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
616,Khuzdar,PK,81.18,few clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
617,Abha,SA,80.85,clear sky,18.2164,42.5053,Abha Hotel
618,Susanville,US,84.04,haze,40.4163,-120.653,Comfort Inn & Suites
620,Kalmunai,LK,81.48,light rain,7.4167,81.8167,VS Villa
623,Teacapan,MX,86.45,broken clouds,22.55,-105.75,Hotel los Mangos
626,Gushikawa,JP,80.19,clear sky,26.3544,127.8686,Kirari Guest House
627,Bari,IT,86.88,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
629,Waingapu,ID,75.63,few clouds,-9.6567,120.2641,Pondok Wisata Elim
637,Bull Savanna,JM,85.08,scattered clouds,17.8868,-77.5902,Big Red's
639,Ucar,AZ,89.78,broken clouds,40.519,47.6542,Aşura market
643,Garango,BF,79.34,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
651,Waddan,LY,87.19,clear sky,29.1614,16.139,محل الشريف محمد العايب
658,Ahuimanu,US,78.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
659,Pekan,MY,80.71,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
660,Santa Marta,CO,88.34,scattered clouds,11.2408,-74.199,Casa de Isabella
662,Cantaura,VE,82.31,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
664,Requena,ES,78.89,scattered clouds,39.4883,-1.1004,Hotel Avenida
665,Khash,IR,82.47,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
666,Vaitape,PF,77.7,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
668,Sinjar,IQ,89.62,clear sky,36.3209,41.8754,زوماني فون 1
670,Merrill,US,77.11,clear sky,45.1805,-89.6835,Prairie Motel
671,San Felipe,VE,88.77,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
675,Kathu,TH,75.02,moderate rain,7.9178,98.3332,Novotel Phuket Resort
678,Jieshi,CN,80.65,light rain,22.8134,115.8257,Yuehai Hotel
680,Sao Jose Da Coroa Grande,BR,78.19,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
681,San Onofre,CO,81.1,overcast clouds,9.7359,-75.5263,Hotel Sinai
683,Shingu,JP,81.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
688,Altamont,US,82.78,broken clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
690,Tari,NG,82.27,overcast clouds,12.4086,4.4914,
693,Gunjur,GM,80.53,overcast clouds,13.2019,-16.7339,Kuba Lodge
694,Oliveira Dos Brejinhos,BR,89.51,clear sky,-12.3169,-42.8961,Hotel Paraiso
