City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Zuienkerke,BE,2021-08-04 03:35:04,51.2525,3.1361,56.03,88,40,1.14
68,Saint-Pierre,RE,2021-08-04 03:35:05,-21.3393,55.4781,67.68,88,75,16.11
69,Brae,GB,2021-08-04 03:35:05,60.3964,-1.353,57.11,93,100,6.17
70,Butaritari,KI,2021-08-04 03:35:05,3.0707,172.7902,83.52,69,61,12.91
71,Konya,TR,2021-08-04 03:35:06,38.1667,32.5,69.28,31,0,6.64
72,Trapani,IT,2021-08-04 03:35:06,37.8333,12.6667,85.89,89,0,2.3
73,Chokurdakh,RU,2021-08-04 03:35:06,70.6333,147.9167,57.58,30,39,14.61
74,Tonantins,BR,2021-08-04 03:35:06,-2.8731,-67.8022,71.49,68,11,1.63
75,Provideniya,RU,2021-08-04 03:35:07,64.3833,-173.3,51.91,87,90,8.95
76,Dalbandin,PK,2021-08-04 03:35:07,28.8947,64.4101,92.07,8,0,9.62
77,Nanortalik,GL,2021-08-04 03:35:07,60.1432,-45.2371,44.47,97,100,4.07
78,Upernavik,GL,2021-08-04 03:35:08,72.7868,-56.1549,41.23,87,19,9.19
79,Kudahuvadhoo,MV,2021-08-04 03:35:08,2.6708,72.8944,82.2,72,100,3.27
80,Ibra,OM,2021-08-04 03:35:08,22.6906,58.5334,88.88,43,2,2.04
81,Hamilton,US,2021-08-04 03:33:52,39.1834,-84.5333,69.1,74,1,0.0
82,Verkhnevilyuysk,RU,2021-08-04 03:35:09,63.4453,120.3167,80.96,33,92,11.7
83,Lagoa,PT,2021-08-04 03:35:09,39.05,-27.9833,71.2,91,4,9.06
84,Takoradi,GH,2021-08-04 03:35:09,4.8845,-1.7554,75.16,92,69,6.78
85,Kindu,CD,2021-08-04 03:35:10,-2.95,25.95,69.51,62,13,1.54
86,Vaini,TO,2021-08-04 03:35:10,-21.2,-175.2,73.56,78,40,12.66
87,Darovskoy,RU,2021-08-04 03:35:11,58.77,47.9564,65.08,85,92,3.22
88,Tuatapere,NZ,2021-08-04 03:35:12,-46.1333,167.6833,47.82,67,100,2.51
89,Thompson,CA,2021-08-04 03:35:12,55.7435,-97.8558,71.76,60,90,3.44
