City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pevek,RU,69.7008,170.3133,35.67,97,100,16.98,light rain
80,Olafsvik,IS,64.8945,-23.7142,54.39,79,8,11.81,clear sky
81,Ushuaia,AR,-54.8,-68.3,37.06,75,20,0.0,few clouds
82,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,16.11,light rain
83,Bentiu,SS,9.2333,29.8333,69.62,97,100,4.07,overcast clouds
84,Masterton,NZ,-40.9597,175.6575,37.18,95,4,3.36,clear sky
85,Umm Kaddadah,SD,13.6017,26.6876,73.76,72,100,14.94,overcast clouds
86,Kapaa,US,22.0752,-159.319,80.92,73,90,3.0,light rain
87,Severo-Kurilsk,RU,50.6789,156.125,52.59,88,50,8.68,scattered clouds
88,Council Bluffs,US,41.2619,-95.8608,87.58,39,1,9.22,clear sky
89,Tshikapa,CD,-6.4167,20.8,83.62,40,67,0.34,broken clouds
90,Tambun,ID,-6.2641,107.0712,78.69,81,14,4.85,few clouds
91,Castro,BR,-24.7911,-50.0119,63.64,74,69,3.15,broken clouds
92,Huarmey,PE,-10.0681,-78.1522,69.21,68,28,12.12,scattered clouds
93,Launceston,AU,-41.45,147.1667,50.14,91,90,5.01,overcast clouds
94,Thompson,CA,55.7435,-97.8558,77.16,53,75,10.36,broken clouds
95,Carnarvon,AU,-24.8667,113.6333,50.07,37,0,10.36,clear sky
96,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,80,47,7.38,scattered clouds
97,Northam,GB,51.0333,-4.2167,66.29,84,100,8.61,overcast clouds
98,Saint-Augustin,CA,51.226,-58.6502,73.22,71,45,10.2,scattered clouds
99,Sucila,MX,21.15,-88.3167,93.04,43,96,9.57,overcast clouds
100,Provideniya,RU,64.3833,-173.3,50.81,90,100,6.04,overcast clouds
101,Butaritari,KI,3.0707,172.7902,81.16,77,100,8.05,moderate rain
102,Dingle,PH,10.9995,122.6711,75.29,91,13,3.62,light rain
103,Tiarei,PF,-17.5333,-149.3333,80.62,79,60,7.96,light rain
104,Muros,ES,42.7762,-9.0603,71.83,70,0,12.59,clear sky
105,Port Alfred,ZA,-33.5906,26.891,58.75,74,100,13.47,light rain
106,Anadyr,RU,64.75,177.4833,57.7,82,20,13.42,few clouds
107,Boende,CD,-0.2167,20.8667,75.11,81,61,1.25,broken clouds
